time,lambda_main,queue_lambdas.frontend,queue_lambdas.database,queue_lambdas.backend,delays.frontend,delays.database,delays.backend
72,0.1237983179200974,0.0,0.1237983179200974,0.0,5.492731655556185,2.9556874395756294,2.8104718489579037
73,0.14144023297040295,0.0,0.14144023297040295,0.0,5.492731655556185,3.1182873750633227,2.8104718489579037
74,0.1443990552155362,0.0,0.1443990552155362,0.0,5.492731655556185,3.1473260468103605,2.8104718489579037
75,0.1385031550189867,0.0,0.1385031550189867,0.0,5.492731655556185,3.089987253736897,2.8104718489579037
76,0.13221312121545123,0.0,0.13221312121545123,0.0,5.492731655556185,3.0310749051823342,2.8104718489579037
77,0.11933675411486933,0.0,0.11933675411486933,0.0,5.492731655556185,2.917218118955918,2.8104718489579037
78,0.11986041967465588,0.0,0.11986041967465588,0.0,5.492731655556185,2.9216814158102684,2.8104718489579037
79,0.1329368011237426,0.0,0.1329368011237426,0.0,5.492731655556185,3.037738269160985,2.8104718489579037
80,0.12786832564367734,0.0,0.12786832564367734,0.0,5.492731655556185,2.9916763205757637,2.8104718489579037
81,0.1258195973560505,0.0,0.1258195973560505,0.0,5.492731655556185,2.9734516432400557,2.8104718489579037
82,0.13430920963257617,0.0,0.13430920963257617,0.0,5.492731655556185,3.050455673308168,2.8104718489579037
83,0.14362025880051418,0.0,0.14362025880051418,0.0,5.492731655556185,3.139630416306264,2.8104718489579037
84,0.1395611999927679,0.0,0.1395611999927679,0.0,5.492731655556185,3.1001226256393566,2.8104718489579037
85,0.14054463978030604,0.0,0.14054463978030604,0.0,5.492731655556185,3.1096031337217185,2.8104718489579037
86,0.15145796580969595,0.0,0.15145796580969595,0.0,5.492731655556185,3.218837982651297,2.8104718489579037
87,0.14375777842781284,0.0,0.14375777842781284,0.0,5.492731655556185,3.1409865711958145,2.8104718489579037
88,0.1376383573821703,0.0,0.1376383573821703,0.0,5.492731655556185,3.0817521534899215,2.8104718489579037
89,0.1444811523408785,0.0,0.1444811523408785,0.0,5.492731655556185,3.148139483304128,2.8104718489579037
90,0.13644879410995314,0.0,0.13644879410995314,0.0,5.492731655556185,3.07049590227244,2.8104718489579037
91,0.1328270996496531,0.0,0.1328270996496531,0.0,5.492731655556185,3.036726297231273,2.8104718489579037
92,0.14694677686866553,0.0,0.14694677686866553,0.0,5.492731655556185,3.172766912305305,2.8104718489579037
93,0.1358442428061915,0.0,0.1358442428061915,0.0,5.492731655556185,3.0648067863273285,2.8104718489579037
94,0.10979835532340618,0.0,0.10979835532340618,0.0,5.492731655556185,2.838242351583722,2.8104718489579037
95,0.12851419413683537,0.0,0.12851419413683537,0.0,5.492731655556185,2.9974681168280264,2.8104718489579037
96,0.12371228153027247,0.0,0.12371228153027247,0.0,5.492731655556185,2.9549360091684833,2.8104718489579037
97,0.12418290985000123,0.0,0.12418290985000123,0.0,5.492731655556185,2.959051092188571,2.8104718489579037
98,0.13222140067493665,0.0,0.13222140067493665,0.0,5.492731655556185,3.0311509739222675,2.8104718489579037
99,0.12901480278040164,0.0,0.12901480278040164,0.0,5.492731655556185,3.0019727524026054,2.8104718489579037
100,0.13285843975149816,0.0,0.13285843975149816,0.0,5.492731655556185,3.037015333963442,2.8104718489579037
